rating,comment
5,"Loved the music and the light show! Best carnival ever."
4,"Great event, well organized. The food stalls were amazing."
5,"My kids had a blast at the game booths. Thank you!"
3,"The queues for the entry were too long. Need better crowd control."
1,"Couldn't hear any announcements. The sound system was terrible."
5,"Amazing atmosphere. The student council did a fantastic job."
2,"Not enough seating areas. We had to stand the whole time."
4,"The Christmas decorations were beautiful. Felt very festive."
5,"I appreciate how digital and organized everything was. Easy to find info on Instagram."
3,"Some stalls ran out of food too quickly. More vendors next time please."